1000 3
8.017268118341661642e-01 -3.567609327278212117e+00 -8.017268118341661642e-01
8.070525839783873057e-01 -3.531091219681028459e+00 -8.070525839783871946e-01
8.122757043976197577e-01 -3.494935198938343479e+00 -8.122757043976198688e-01
8.173938709762222921e-01 -3.459137430165879046e+00 -8.173938709762224031e-01
8.224048048628702645e-01 -3.423694136076230077e+00 -8.224048048628702645e-01
8.273062514252583766e-01 -3.388601596847276909e+00 -8.273062514252583766e-01
8.320959811928095862e-01 -3.353856149953813315e+00 -8.320959811928095862e-01
8.367717907869560712e-01 -3.319454189963705115e+00 -8.367717907869558491e-01
8.413315038385772437e-01 -3.285392168299924975e+00 -8.413315038385772437e-01
8.457729718921798145e-01 -3.251666592969704173e+00 -8.457729718921798145e-01
8.500940752964164515e-01 -3.218274028262105624e+00 -8.500940752964166736e-01
8.542927240805542333e-01 -3.185211094415196342e+00 -8.542927240805542333e-01
8.583668588165115354e-01 -3.152474467254032131e+00 -8.583668588165115354e-01
8.623144514660865401e-01 -3.120060877800614918e+00 -8.623144514660866511e-01
8.661335062130228746e-01 -3.087967111856939173e+00 -8.661335062130228746e-01
8.698220602795501133e-01 -3.056190009562258947e+00 -8.698220602795501133e-01
8.733781847270796206e-01 -3.024726464925635128e+00 -8.733781847270796206e-01
8.767999852406859196e-01 -2.993573425334772775e+00 -8.767999852406860306e-01
8.800856028971111300e-01 -2.962727891042275186e+00 -8.800856028971111300e-01
8.832332149159140000e-01 -2.932186914630155350e+00 -8.832332149159140000e-01
8.862410353935377127e-01 -2.901947600453730569e+00 -8.862410353935378238e-01
8.891073160199357561e-01 -2.872007104065688043e+00 -8.891073160199358671e-01
8.918303467775495763e-01 -2.842362631621390356e+00 -8.918303467775495763e-01
8.944084566223005073e-01 -2.813011439266150937e+00 -8.944084566223006183e-01
8.968400141464146769e-01 -2.783950832505504458e+00 -8.968400141464146769e-01
8.991234282227569263e-01 -2.755178165559162728e+00 -8.991234282227569263e-01
9.012571486305224200e-01 -2.726690840699623752e+00 -9.012571486305225310e-01
9.032396666619776360e-01 -2.698486307576076992e+00 -9.032396666619776360e-01
9.050695157101266153e-01 -2.670562062524536984e+00 -9.050695157101265043e-01
9.067452718370110354e-01 -2.642915647864804374e+00 -9.067452718370110354e-01
9.082655543225455208e-01 -2.615544651185128799e+00 -9.082655543225455208e-01
9.096290261936157417e-01 -2.588446704615149585e+00 -9.096290261936157417e-01
9.108343947333642499e-01 -2.561619484087942933e+00 -9.108343947333641388e-01
9.118804119704132516e-01 -2.535060708591703627e+00 -9.118804119704132516e-01
9.127658751479711396e-01 -2.508768139411871712e+00 -9.127658751479711396e-01
9.134896271725914119e-01 -2.482739579364162452e+00 -9.134896271725913008e-01
9.140505570425544457e-01 -2.456972872019311360e+00 -9.140505570425544457e-01
9.144476002556660710e-01 -2.431465900919940637e+00 -9.144476002556660710e-01
9.146797391964540669e-01 -2.406216588790306421e+00 -9.146797391964541779e-01
9.147460035025890557e-01 -2.381222896739342509e+00 -9.147460035025892777e-01
9.146454704105270173e-01 -2.356482823457691111e+00 -9.146454704105270173e-01
9.143772650802215463e-01 -2.331994404409126975e+00 -9.143772650802215463e-01
9.139405608989248364e-01 -2.307755711017025035e+00 -9.139405608989250585e-01
9.133345797639401686e-01 -2.283764849846227740e+00 -9.133345797639401686e-01
9.125585923443884084e-01 -2.260019961781045694e+00 -9.125585923443884084e-01
9.116119183218303057e-01 -2.236519221199514629e+00 -9.116119183218303057e-01
9.104939266098723838e-01 -2.213260835144822192e+00 -9.104939266098724948e-01
9.092040355525904394e-01 -2.190243042493906778e+00 -9.092040355525905504e-01
9.077417131019247520e-01 -2.167464113124100145e+00 -9.077417131019247520e-01
9.061064769739078928e-01 -2.144922347077849345e+00 -9.061064769739078928e-01
9.042978947838915538e-01 -2.122616073726329766e+00 -9.042978947838915538e-01
9.023155841606529393e-01 -2.100543650931982587e+00 -9.023155841606529393e-01
9.001592128395740078e-01 -2.078703464210757801e+00 -9.001592128395740078e-01
8.978284987347849855e-01 -2.057093925894076580e+00 -8.978284987347849855e-01
8.953232099904875341e-01 -2.035713474291284797e+00 -8.953232099904876451e-01
8.926431650113706429e-01 -2.014560572852585274e+00 -8.926431650113706429e-01
8.897882324723491720e-01 -1.993633709333206161e+00 -8.897882324723491720e-01
8.867583313075567686e-01 -1.972931394958778784e+00 -8.867583313075567686e-01
8.835534306788452863e-01 -1.952452163592661050e+00 -8.835534306788451753e-01
8.801735499237354210e-01 -1.932194570905172881e+00 -8.801735499237355320e-01
8.766187584830934520e-01 -1.912157193545459766e+00 -8.766187584830933410e-01
8.728891758084879049e-01 -1.892338628315934024e+00 -8.728891758084879049e-01
8.689849712495290035e-01 -1.872737491350011885e+00 -8.689849712495290035e-01
8.649063639211567178e-01 -1.853352417293063548e+00 -8.649063639211567178e-01
8.606536225511892679e-01 -1.834182058487291656e+00 -8.606536225511892679e-01
8.562270653081307525e-01 -1.815225084160459135e+00 -8.562270653081308636e-01
8.516270596095530943e-01 -1.796480179619138307e+00 -8.516270596095530943e-01
8.468540219110692879e-01 -1.777946045446421319e+00 -8.468540219110692879e-01
8.419084174762264672e-01 -1.759621396704721619e+00 -8.419084174762264672e-01
8.367907601273740781e-01 -1.741504962143678226e+00 -8.367907601273740781e-01
8.315016119778020354e-01 -1.723595483413636664e+00 -8.315016119778020354e-01
8.260415831452716517e-01 -1.705891714284861971e+00 -8.260415831452716517e-01
8.204113314472154528e-01 -1.688392419872859040e+00 -8.204113314472154528e-01
8.146115620777569788e-01 -1.671096375869978168e+00 -8.146115620777569788e-01
8.086430272668334585e-01 -1.654002367783669714e+00 -8.086430272668336805e-01
8.025065259215925506e-01 -1.637109190181547325e+00 -8.025065259215925506e-01
7.962029032503517012e-01 -1.620415645943635408e+00 -7.962029032503517012e-01
7.897330503693156256e-01 -1.603920545521947627e+00 -7.897330503693157366e-01
7.830979038923419067e-01 -1.587622706207750589e+00 -7.830979038923421287e-01
7.762984455039668719e-01 -1.571520951406674804e+00 -7.762984455039668719e-01
7.693357015159960621e-01 -1.555614109922007104e+00 -7.693357015159960621e-01
7.622107424078840010e-01 -1.539901015246326166e+00 -7.622107424078840010e-01
7.549246823512143489e-01 -1.524380504861810648e+00 -7.549246823512143489e-01
7.474786787185161430e-01 -1.509051419549363393e+00 -7.474786787185159209e-01
7.398739315767468572e-01 -1.493912602706904735e+00 -7.398739315767470792e-01
7.321116831656823143e-01 -1.478962899676932841e+00 -7.321116831656823143e-01
7.241932173615477364e-01 -1.464201157083731220e+00 -7.241932173615475143e-01
7.161198591261550561e-01 -1.449626222180310897e+00 -7.161198591261550561e-01
7.078929739418842182e-01 -1.435236942205437405e+00 -7.078929739418842182e-01
6.995139672327735925e-01 -1.421032163750859389e+00 -6.995139672327735925e-01
6.909842837720786557e-01 -1.407010732139061915e+00 -6.909842837720786557e-01
6.823054070765727230e-01 -1.393171490811661473e+00 -6.823054070765727230e-01
6.734788587879463329e-01 -1.379513280728755342e+00 -6.734788587879463329e-01
6.645061980416009373e-01 -1.366034939779358748e+00 -6.645061980416009373e-01
6.553890208231863967e-01 -1.352735302203193379e+00 -6.553890208231866188e-01
6.461289593132042430e-01 -1.339613198024007357e+00 -6.461289593132042430e-01
6.367276812200153291e-01 -1.326667452494647348e+00 -6.367276812200153291e-01
6.271868891015914826e-01 -1.313896885554068472e+00 -6.271868891015915937e-01
